,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_neurons_hidden_3,param_neurons_hidden_2,param_neurons_hidden_1,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
117,0.8042625904083252,0.017268401876643417,0.26146240234375,0.026174337519446738,125,193,97,"{'neurons_hidden_3': 125, 'neurons_hidden_2': 193, 'neurons_hidden_1': 97}",-439.9670595333406,-393.68611293901733,-415.762762759707,-378.1232511261197,-1695.11301369863,-664.530440011363,515.7131446137846,214
118,0.8066222667694092,0.02511278986437894,0.25892887115478513,0.017289537696977865,224,163,60,"{'neurons_hidden_3': 224, 'neurons_hidden_2': 163, 'neurons_hidden_1': 60}",-426.9467583074058,-391.5586259948979,-369.3729652117392,-373.65192459281053,-1695.11301369863,-651.3286575610966,522.2866777183176,202
119,0.8233783721923829,0.01980999297106318,0.256402587890625,0.027399036509032568,200,232,113,"{'neurons_hidden_3': 200, 'neurons_hidden_2': 232, 'neurons_hidden_1': 113}",-453.55953807725285,-367.69751045590147,-402.8433653154439,-377.7688920326398,-391.28120037190376,-398.6301012506284,29.936653759583848,77
120,0.8495046138763428,0.040422274084035474,0.2689366340637207,0.02037124508746769,190,238,284,"{'neurons_hidden_3': 190, 'neurons_hidden_2': 238, 'neurons_hidden_1': 284}",-375.6733751887977,-331.60475767965846,-299.60407240042787,-359.97395819206264,-1695.11301369863,-612.3938354319154,541.980282252464,172
121,0.8483607769012451,0.04138260799039363,0.2694033145904541,0.024482813066224903,123,158,284,"{'neurons_hidden_3': 123, 'neurons_hidden_2': 158, 'neurons_hidden_1': 284}",-382.6428744162392,-420.24702385740994,-1905.8561643835617,-356.0223868533036,-327.8641970669975,-678.5265293155023,614.4211042039096,234
122,0.7966164112091064,0.035857661442527396,0.27222981452941897,0.028091009744223072,182,25,208,"{'neurons_hidden_3': 182, 'neurons_hidden_2': 25, 'neurons_hidden_1': 208}",-1793.4075342465753,-449.5804835723365,-1905.8561643835617,-456.58501487862776,-375.49958048355273,-996.1857555129307,698.3209044187402,289
123,0.8431017398834229,0.0347942846827991,0.2662102699279785,0.024442207368088817,130,226,202,"{'neurons_hidden_3': 130, 'neurons_hidden_2': 226, 'neurons_hidden_1': 202}",-492.80474436036206,-363.33699556972164,-358.469201032413,-386.415017554086,-328.3261914098004,-385.8704299852767,56.57767505723154,54
124,0.801554536819458,0.03495947470177371,0.2305609703063965,0.00647139826278675,61,191,203,"{'neurons_hidden_3': 61, 'neurons_hidden_2': 191, 'neurons_hidden_1': 203}",-438.81368252280885,-1754.8458904109589,-371.55956732839286,-381.6697221907443,-391.98737721067806,-667.7752479327166,544.0229831737594,220
125,0.785152530670166,0.00825647984701203,0.2486198902130127,0.024673811430256567,84,128,128,"{'neurons_hidden_3': 84, 'neurons_hidden_2': 128, 'neurons_hidden_1': 128}",-434.49431505992385,-407.28690223758235,-386.04793206258904,-405.21407080246394,-383.3207489285689,-403.27279381822564,18.38175709314736,88
126,0.8304989337921143,0.04319766917698911,0.26589059829711914,0.027976946209231156,261,203,187,"{'neurons_hidden_3': 261, 'neurons_hidden_2': 203, 'neurons_hidden_1': 187}",-401.33501027989183,-1754.8458904109589,-347.19478840568047,-352.1434163976454,-331.9600977765621,-637.4958406541477,559.1593455600996,190
